City_ID,City,Lat,Lng,Date,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
336,El Rosario,24.2556,-107.1828,2021-11-26 22:46:27,77.23,overcast clouds,41,100,10.67,MX
337,Platanos,37.6667,21.6167,2021-11-26 22:46:27,57.85,overcast clouds,86,100,5.17,GR
338,Gorodishche,48.8045,44.4744,2021-11-26 22:46:27,32.88,clear sky,93,0,11.18,RU
339,Atbasar,51.8,68.3333,2021-11-26 22:46:27,13.59,overcast clouds,95,86,15.5,KZ
340,Ranong,9.9658,98.6348,2021-11-26 22:45:16,76.26,overcast clouds,88,92,6.55,TH
341,Zeya,53.75,127.2667,2021-11-26 22:46:28,11.19,overcast clouds,73,88,3.04,RU
342,Wolsztyn,52.1155,16.1171,2021-11-26 22:46:28,34.11,overcast clouds,80,100,3.8,PL
343,Mae Chan,20.1467,99.8526,2021-11-26 22:46:28,69.46,scattered clouds,97,43,1.95,TH
344,Acari,-15.4311,-74.6158,2021-11-26 22:46:29,71.44,broken clouds,73,76,6.49,PE
345,Teknaf,20.8624,92.3058,2021-11-26 22:46:29,66.96,clear sky,69,1,5.19,BD
346,Yulara,-25.2406,130.9889,2021-11-26 22:46:29,67.84,clear sky,42,0,13.8,AU
347,Tessalit,20.1986,1.0114,2021-11-26 22:46:30,76.53,broken clouds,30,64,7.74,ML
348,Itarema,-2.9248,-39.9167,2021-11-26 22:46:30,80.74,few clouds,78,21,14.25,BR
349,Sapa,5.1544,120.3241,2021-11-26 22:46:30,81.0,overcast clouds,83,94,7.76,PH
350,Novyy Urengoy,66.0833,76.6333,2021-11-26 22:46:31,-9.44,scattered clouds,95,42,7.9,RU
351,Adrar,20.5022,-10.0711,2021-11-26 22:46:31,77.07,broken clouds,24,81,9.08,MR
352,Bathsheba,13.2167,-59.5167,2021-11-26 22:46:31,79.41,scattered clouds,89,40,4.61,BB
353,Kal,47.7333,20.2667,2021-11-26 22:46:31,40.62,overcast clouds,93,100,12.88,HU
354,Kismayo,-0.3582,42.5454,2021-11-26 22:46:32,77.81,light rain,83,94,2.77,SO
355,Lianzhou,24.7811,112.3825,2021-11-26 22:46:32,49.69,clear sky,84,0,3.09,CN
356,Tonshayevo,57.736,47.0127,2021-11-26 22:46:32,33.06,overcast clouds,94,100,11.97,RU
357,Tommot,58.9564,126.2925,2021-11-26 22:46:33,16.99,light snow,93,93,8.01,RU
358,Pemangkat,1.1667,108.9667,2021-11-26 22:46:33,78.67,overcast clouds,85,100,2.84,ID
359,Ixtapa,20.7,-105.2,2021-11-26 22:46:33,80.15,overcast clouds,58,94,5.44,MX
360,Sivaki,52.6333,126.75,2021-11-26 22:46:34,8.4,broken clouds,89,61,6.53,RU
361,Lashio,22.9333,97.75,2021-11-26 22:46:34,57.22,broken clouds,86,52,0.87,MM
362,Petropavlivka,48.4564,36.4367,2021-11-26 22:46:34,36.84,scattered clouds,90,43,13.47,UA
363,Evensk,61.95,159.2333,2021-11-26 22:46:35,-7.73,clear sky,82,10,9.64,RU
364,Emerald,-23.5333,148.1667,2021-11-26 22:46:35,78.94,overcast clouds,69,100,5.75,AU
365,Barcelos,41.5388,-8.6151,2021-11-26 22:46:35,48.34,broken clouds,90,76,4.29,PT
366,Bayonet Point,28.3267,-82.6834,2021-11-26 22:46:35,73.35,broken clouds,83,69,12.55,US
367,Hasaki,35.7333,140.8333,2021-11-26 22:46:36,45.0,broken clouds,48,73,20.07,JP
368,Ghatanji,20.1333,78.3167,2021-11-26 22:46:36,65.35,broken clouds,59,75,4.9,IN
369,Piracanjuba,-17.3028,-49.0167,2021-11-26 22:46:36,75.45,overcast clouds,63,92,6.93,BR
370,De Aar,-30.6497,24.0123,2021-11-26 22:46:37,62.98,light rain,69,41,29.84,ZA
371,Ostrovnoy,68.0531,39.5131,2021-11-26 22:46:37,25.0,snow,88,99,8.57,RU
372,Arlit,18.7369,7.3853,2021-11-26 22:46:37,76.21,clear sky,23,5,8.23,NE
373,Camana,-16.6228,-72.7111,2021-11-26 22:46:38,67.44,overcast clouds,81,99,8.77,PE
374,Daliang,22.8504,113.247,2021-11-26 22:46:38,64.31,broken clouds,36,83,9.26,CN
375,Inirida,3.8653,-67.9239,2021-11-26 22:47:38,75.29,overcast clouds,96,100,2.82,CO
376,Santa Fe,-31.6333,-60.7,2021-11-26 22:47:38,79.66,light rain,37,0,6.13,AR
377,Zurrieq,35.8311,14.4742,2021-11-26 22:47:39,60.31,clear sky,63,0,9.22,MT
378,Ho Chi Minh City,10.75,106.6667,2021-11-26 22:43:51,77.02,light rain,69,75,5.75,VN
379,Joshimath,30.5667,79.5667,2021-11-26 22:47:39,45.55,clear sky,21,0,6.8,IN
380,Dutse,11.7594,9.3392,2021-11-26 22:47:39,72.54,few clouds,15,16,7.78,NG
381,Kalmunai,7.4167,81.8167,2021-11-26 22:47:40,77.4,broken clouds,90,59,5.84,LK
382,Padang,-0.9492,100.3543,2021-11-26 22:47:40,77.02,overcast clouds,86,100,4.36,ID
383,Otane,-39.8833,176.6333,2021-11-26 22:47:40,76.1,overcast clouds,34,97,2.84,NZ
384,Amapa,1.0,-52.0,2021-11-26 22:47:41,78.69,overcast clouds,75,100,3.4,BR
385,Kawalu,-7.3817,108.2082,2021-11-26 22:47:41,72.61,overcast clouds,93,89,1.41,ID
386,Rock Sound,24.9,-76.2,2021-11-26 22:47:41,76.12,overcast clouds,59,98,6.04,BS
387,Tura,25.5198,90.2201,2021-11-26 22:47:42,57.58,clear sky,77,0,3.74,IN
388,Grindavik,63.8424,-22.4338,2021-11-26 22:47:42,30.67,broken clouds,80,75,11.5,IS
389,Noyabrsk,63.1994,75.4507,2021-11-26 22:47:42,-8.01,scattered clouds,99,48,9.44,RU
390,Migori,-1.0634,34.4731,2021-11-26 22:47:43,65.23,overcast clouds,76,99,2.77,KE
391,Thaba Nchu,-29.2093,26.839,2021-11-26 22:47:43,56.98,light rain,72,50,19.08,ZA
392,Karratha,-20.7377,116.8463,2021-11-26 22:47:43,85.12,clear sky,29,4,13.98,AU
393,Palmer,42.1584,-72.3287,2021-11-26 22:45:36,38.01,light rain,65,90,18.41,US
394,Valparaiso,-33.0393,-71.6273,2021-11-26 22:47:44,65.84,few clouds,70,20,3.44,CL
395,Soto La Marina,23.7667,-98.2167,2021-11-26 22:47:44,57.54,overcast clouds,81,100,6.08,MX
