City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Ahmadpur,IN,18.7,76.9333,79.74,43,100,9.06,overcast clouds
156,Bandarbeyla,SO,9.4942,50.8122,82.49,69,54,12.24,broken clouds
157,Bethel,US,41.3712,-73.414,37.76,55,1,17.27,clear sky
158,Hermanus,ZA,-34.4187,19.2345,64.35,71,92,15.57,overcast clouds
159,Iskateley,RU,67.6803,53.1512,0.03,92,100,5.23,overcast clouds
160,Tuatapere,NZ,-46.1333,167.6833,55.71,54,100,8.66,overcast clouds
161,Kirakira,SB,-10.4544,161.9205,82.87,78,48,4.9,scattered clouds
162,Miranda,CO,3.2499,-76.2281,66.33,96,100,2.33,overcast clouds
163,Taoudenni,ML,22.6783,-3.9836,76.55,34,80,8.39,broken clouds
164,Tabuk,PH,17.4189,121.4443,81.73,74,65,1.97,broken clouds
165,Innisfail,AU,-17.5333,146.0333,83.28,71,52,7.47,light rain
166,Jennings,US,38.7192,-90.2604,39.02,48,20,5.75,few clouds
167,Zhuanghe,CN,39.7008,122.9911,42.06,45,0,4.99,clear sky
168,Miyako,JP,39.6367,141.9525,45.88,57,35,11.97,scattered clouds
169,San Quintin,MX,30.4833,-115.95,61.59,51,0,2.68,clear sky
170,Hofn,IS,64.2539,-15.2082,30.36,41,90,4.88,overcast clouds
171,Vaini,TO,-21.2,-175.2,82.56,89,75,5.75,broken clouds
172,Inongo,CD,-1.95,18.2667,70.36,93,99,4.94,overcast clouds
173,Maarianhamina,AX,60.0973,19.9348,26.46,80,0,6.91,clear sky
174,Seymchan,RU,62.8833,152.4333,-39.57,100,76,0.63,broken clouds
175,Severo-Kurilsk,RU,50.6789,156.125,34.3,85,99,7.99,overcast clouds
176,Alice Springs,AU,-23.7,133.8833,78.35,29,0,14.97,clear sky
177,Tubuala,PA,9.5167,-79.0333,73.51,88,100,1.34,overcast clouds
178,Old Shinyanga,TZ,-3.55,33.4,75.9,55,18,12.48,few clouds
179,Cotonou,BJ,6.3654,2.4183,80.76,81,61,4.09,broken clouds
180,Yantal,RU,56.8471,105.2542,10.0,82,100,7.7,overcast clouds
181,Rabo De Peixe,PT,37.8,-25.5833,54.91,71,20,5.75,few clouds
182,Torrevieja,ES,37.9787,-0.6822,44.71,58,17,10.0,few clouds
183,Tutoia,BR,-2.7619,-42.2744,80.24,80,80,11.05,broken clouds
184,Avarua,CK,-21.2078,-159.775,80.65,83,20,2.3,light rain
185,Fairbanks,US,64.8378,-147.7164,-14.8,70,90,0.0,light snow
186,Puerto Escondido,MX,15.85,-97.0667,76.84,65,50,5.79,scattered clouds
187,Eregli,TR,37.5133,34.0467,51.84,59,100,2.28,overcast clouds
188,Lircay,PE,-12.9896,-74.7205,48.56,85,100,1.39,light rain
189,Grand Gaube,MU,-20.0064,57.6608,82.8,69,2,10.54,clear sky
190,Majdanpek,RS,44.4277,21.946,37.56,96,99,4.43,light rain
191,Matagami,CA,49.7502,-77.6328,6.91,100,90,14.97,light snow
192,Bogo,PH,11.0517,124.0055,84.9,69,80,5.32,broken clouds
193,Ponta Delgada,PT,37.7333,-25.6667,56.12,71,20,5.75,few clouds
